transaction_id,product_id,customer_id,amount,channel,transaction_date,campaign_id
TXN00000003,PRD00010,CUST00019,333.49,instore,2025-02-14,CAMPAIGN1
TXN00000008,PRD00087,CUST00495,3223.51,instore,2025-03-22,CAMPAIGN1
TXN00000009,PRD00074,CUST00153,1789.65,instore,2025-02-04,
TXN00000016,PRD00047,CUST00431,4384.5,instore,2025-04-08,CAMPAIGN1
TXN00000017,PRD00078,CUST00131,1302.32,instore,2025-02-25,
TXN00000024,PRD00016,CUST00296,768.17,instore,2025-06-17,CAMPAIGN2
TXN00000028,PRD00077,CUST00025,225.86,instore,2025-01-28,
TXN00000029,PRD00072,CUST00343,4120.67,instore,2025-04-17,
TXN00000030,PRD00040,CUST00356,4681.04,instore,2025-06-11,CAMPAIGN1
TXN00000034,PRD00008,CUST00026,3493.1,instore,2025-02-05,CAMPAIGN2
TXN00000035,PRD00044,CUST00082,3933.74,instore,2025-01-14,CAMPAIGN1
TXN00000036,PRD00005,CUST00063,1947.71,instore,2025-01-18,
TXN00000040,PRD00003,CUST00405,1657.07,instore,2025-04-03,CAMPAIGN2
TXN00000042,PRD00054,CUST00488,3820.45,instore,2025-04-12,
TXN00000046,PRD00012,CUST00147,1670.24,instore,2025-01-19,
TXN00000048,PRD00077,CUST00242,187.24,instore,2025-03-17,CAMPAIGN2
TXN00000051,PRD00001,CUST00284,1634.06,instore,2025-06-21,CAMPAIGN1
TXN00000055,PRD00055,CUST00479,2529.97,instore,2025-04-20,CAMPAIGN2
TXN00000064,PRD00011,CUST00365,471.1,instore,2025-06-06,CAMPAIGN1
TXN00000068,PRD00012,CUST00036,4376.31,instore,2025-05-29,
TXN00000074,PRD00068,CUST00444,2808.08,instore,2025-05-18,
TXN00000081,PRD00025,CUST00311,4652.01,instore,2025-02-23,
TXN00000082,PRD00045,CUST00499,2616.15,instore,2025-01-07,CAMPAIGN2
TXN00000083,PRD00045,CUST00420,1734.76,instore,2025-06-29,
TXN00000085,PRD00095,CUST00143,3619.12,instore,2025-03-27,CAMPAIGN2
TXN00000093,PRD00075,CUST00119,4129.22,instore,2025-05-25,
TXN00000095,PRD00098,CUST00435,2796.57,instore,2025-02-28,
TXN00000101,PRD00062,CUST00351,3726.04,instore,2025-02-16,
TXN00000111,PRD00094,CUST00024,1630.96,instore,2025-03-21,CAMPAIGN1
TXN00000112,PRD00085,CUST00130,3478.03,instore,2025-06-10,
TXN00000117,PRD00058,CUST00062,2098.83,instore,2025-05-10,CAMPAIGN2
TXN00000128,PRD00003,CUST00478,1055.96,instore,2025-04-23,CAMPAIGN1
TXN00000133,PRD00062,CUST00490,2910.28,instore,2025-02-18,CAMPAIGN2
TXN00000137,PRD00093,CUST00466,4211.98,instore,2025-05-01,CAMPAIGN1
TXN00000138,PRD00009,CUST00202,1595.1,instore,2025-05-17,CAMPAIGN2
TXN00000140,PRD00011,CUST00021,2996.23,instore,2025-03-22,CAMPAIGN1
TXN00000141,PRD00069,CUST00043,4415.59,instore,2025-03-30,
TXN00000145,PRD00077,CUST00187,2727.36,instore,2025-06-21,
TXN00000146,PRD00014,CUST00406,4491.91,instore,2025-01-15,CAMPAIGN2
TXN00000149,PRD00023,CUST00094,67.8,instore,2025-04-23,CAMPAIGN2
TXN00000156,PRD00016,CUST00229,4256.4,instore,2025-06-24,CAMPAIGN2
TXN00000157,PRD00036,CUST00176,1294.27,instore,2025-01-30,CAMPAIGN2
TXN00000164,PRD00020,CUST00041,880.45,instore,2025-04-01,
TXN00000165,PRD00084,CUST00414,1143.68,instore,2025-04-13,CAMPAIGN2
TXN00000166,PRD00095,CUST00499,1721.96,instore,2025-02-03,
TXN00000167,PRD00084,CUST00198,4768.28,instore,2025-03-30,
TXN00000169,PRD00007,CUST00365,3743.26,instore,2025-02-08,
TXN00000170,PRD00071,CUST00348,4086.12,instore,2025-06-03,
TXN00000171,PRD00059,CUST00476,137.55,instore,2025-01-28,CAMPAIGN2
TXN00000186,PRD00042,CUST00349,4045.55,instore,2025-04-05,CAMPAIGN2
TXN00000190,PRD00058,CUST00275,2647.97,instore,2025-06-01,CAMPAIGN2
TXN00000191,PRD00017,CUST00332,3058.78,instore,2025-02-13,CAMPAIGN2
TXN00000192,PRD00076,CUST00086,292.8,instore,2025-02-02,
TXN00000195,PRD00058,CUST00489,2704.38,instore,2025-05-23,CAMPAIGN2
TXN00000196,PRD00058,CUST00257,3369.02,instore,2025-02-07,CAMPAIGN2
TXN00000197,PRD00013,CUST00311,4393.24,instore,2025-01-19,
TXN00000200,PRD00030,CUST00102,4958.0,instore,2025-01-16,CAMPAIGN1
TXN00000203,PRD00080,CUST00046,2123.7,instore,2025-06-24,CAMPAIGN1
TXN00000207,PRD00075,CUST00407,3970.14,instore,2025-06-02,CAMPAIGN1
TXN00000208,PRD00060,CUST00448,201.63,instore,2025-04-06,
TXN00000211,PRD00056,CUST00085,797.3,instore,2025-03-01,
TXN00000215,PRD00015,CUST00249,3622.25,instore,2025-06-08,
TXN00000217,PRD00030,CUST00228,793.2,instore,2025-01-04,CAMPAIGN1
TXN00000223,PRD00025,CUST00393,3019.81,instore,2025-03-21,CAMPAIGN2
TXN00000224,PRD00099,CUST00146,263.83,instore,2025-03-15,
TXN00000226,PRD00091,CUST00059,1562.52,instore,2025-05-15,CAMPAIGN2
TXN00000231,PRD00098,CUST00001,3927.79,instore,2025-02-21,CAMPAIGN2
TXN00000232,PRD00060,CUST00405,2167.38,instore,2025-03-13,
TXN00000237,PRD00088,CUST00005,4813.96,instore,2025-06-18,CAMPAIGN2
TXN00000238,PRD00086,CUST00281,4809.8,instore,2025-06-15,CAMPAIGN2
TXN00000239,PRD00020,CUST00064,247.34,instore,2025-01-10,CAMPAIGN1
TXN00000240,PRD00094,CUST00402,980.77,instore,2025-02-06,
TXN00000244,PRD00071,CUST00283,2427.43,instore,2025-01-15,CAMPAIGN1
TXN00000249,PRD00001,CUST00269,1030.53,instore,2025-01-19,CAMPAIGN1
TXN00000259,PRD00025,CUST00389,3927.49,instore,2025-04-21,
TXN00000261,PRD00006,CUST00256,2973.84,instore,2025-04-03,CAMPAIGN2
TXN00000264,PRD00044,CUST00267,1702.2,instore,2025-01-07,CAMPAIGN2
TXN00000267,PRD00025,CUST00233,839.39,instore,2025-04-23,CAMPAIGN2
TXN00000268,PRD00040,CUST00321,729.44,instore,2025-03-22,
TXN00000269,PRD00046,CUST00369,4462.98,instore,2025-06-18,CAMPAIGN1
TXN00000277,PRD00023,CUST00350,2370.6,instore,2025-06-13,CAMPAIGN2
TXN00000279,PRD00038,CUST00445,4844.27,instore,2025-02-23,CAMPAIGN2
TXN00000285,PRD00070,CUST00336,1292.84,instore,2025-06-03,
TXN00000286,PRD00065,CUST00120,2845.46,instore,2025-02-19,
TXN00000289,PRD00095,CUST00292,3970.55,instore,2025-05-22,
TXN00000292,PRD00078,CUST00143,3981.24,instore,2025-05-31,CAMPAIGN2
TXN00000295,PRD00091,CUST00228,2538.71,instore,2025-03-25,
TXN00000299,PRD00030,CUST00287,4680.1,instore,2025-04-06,
TXN00000300,PRD00065,CUST00374,4567.73,instore,2025-01-16,CAMPAIGN2
TXN00000305,PRD00057,CUST00005,3631.59,instore,2025-04-23,CAMPAIGN2
TXN00000307,PRD00032,CUST00386,2786.92,instore,2025-03-03,CAMPAIGN1
TXN00000309,PRD00014,CUST00370,1838.65,instore,2025-04-27,
TXN00000313,PRD00041,CUST00006,2720.43,instore,2025-06-18,CAMPAIGN2
TXN00000315,PRD00016,CUST00118,22.78,instore,2025-04-12,CAMPAIGN2
TXN00000316,PRD00017,CUST00222,4416.7,instore,2025-04-13,CAMPAIGN2
TXN00000318,PRD00050,CUST00393,3507.23,instore,2025-01-27,
TXN00000320,PRD00016,CUST00245,1622.05,instore,2025-02-22,
TXN00000327,PRD00096,CUST00433,1351.3,instore,2025-03-25,CAMPAIGN1
TXN00000329,PRD00034,CUST00223,4562.52,instore,2025-04-13,CAMPAIGN2
TXN00000330,PRD00008,CUST00130,3794.6,instore,2025-05-20,
TXN00000331,PRD00017,CUST00438,609.96,instore,2025-05-14,
TXN00000332,PRD00028,CUST00112,3048.7,instore,2025-03-29,
TXN00000335,PRD00058,CUST00184,4014.73,instore,2025-02-24,CAMPAIGN1
TXN00000336,PRD00085,CUST00191,1076.91,instore,2025-04-10,CAMPAIGN1
TXN00000338,PRD00014,CUST00219,927.37,instore,2025-02-06,CAMPAIGN1
TXN00000339,PRD00054,CUST00450,3864.93,instore,2025-02-11,
TXN00000341,PRD00050,CUST00438,1557.19,instore,2025-06-10,CAMPAIGN2
TXN00000342,PRD00093,CUST00248,4410.92,instore,2025-05-03,CAMPAIGN1
TXN00000348,PRD00048,CUST00058,4152.57,instore,2025-04-09,
TXN00000352,PRD00085,CUST00388,1834.67,instore,2025-03-07,
TXN00000353,PRD00050,CUST00304,4918.29,instore,2025-02-10,CAMPAIGN1
TXN00000356,PRD00056,CUST00485,954.77,instore,2025-03-10,
TXN00000358,PRD00053,CUST00237,1017.3,instore,2025-03-07,CAMPAIGN2
TXN00000359,PRD00048,CUST00382,530.85,instore,2025-06-25,CAMPAIGN1
TXN00000360,PRD00090,CUST00317,1393.92,instore,2025-03-19,CAMPAIGN1
TXN00000361,PRD00022,CUST00093,101.63,instore,2025-03-19,CAMPAIGN2
TXN00000363,PRD00067,CUST00270,3041.21,instore,2025-05-17,CAMPAIGN1
TXN00000366,PRD00036,CUST00129,4933.65,instore,2025-04-07,CAMPAIGN1
TXN00000367,PRD00084,CUST00104,869.4,instore,2025-03-02,
TXN00000373,PRD00069,CUST00292,3412.7,instore,2025-04-28,CAMPAIGN1
TXN00000374,PRD00052,CUST00056,4302.63,instore,2025-02-21,
