transaction_id,product_id,customer_id,amount,channel,transaction_date,campaign_id
TXN00000001,PRD00056,CUST00204,4543.05,mobile,2025-04-19,CAMPAIGN2
TXN00000006,PRD00002,CUST00373,627.9,mobile,2025-02-26,CAMPAIGN2
TXN00000011,PRD00044,CUST00391,4140.62,mobile,2025-06-05,
TXN00000012,PRD00051,CUST00466,2276.67,mobile,2025-01-07,CAMPAIGN1
TXN00000013,PRD00051,CUST00108,654.47,mobile,2025-05-14,CAMPAIGN1
TXN00000019,PRD00028,CUST00138,886.57,mobile,2025-03-17,CAMPAIGN1
TXN00000020,PRD00053,CUST00239,3482.11,mobile,2025-03-22,
TXN00000021,PRD00028,CUST00211,4343.51,mobile,2025-03-06,
TXN00000025,PRD00051,CUST00479,137.09,mobile,2025-05-11,CAMPAIGN1
TXN00000026,PRD00013,CUST00314,2579.03,mobile,2025-01-12,CAMPAIGN2
TXN00000027,PRD00065,CUST00285,4341.93,mobile,2025-05-02,CAMPAIGN2
TXN00000031,PRD00099,CUST00443,1143.09,mobile,2025-02-15,CAMPAIGN1
TXN00000032,PRD00042,CUST00056,4245.19,mobile,2025-04-02,CAMPAIGN1
TXN00000033,PRD00093,CUST00500,4373.18,mobile,2025-04-03,CAMPAIGN2
TXN00000037,PRD00017,CUST00132,2258.75,mobile,2025-05-12,
TXN00000039,PRD00041,CUST00251,2663.75,mobile,2025-05-24,CAMPAIGN1
TXN00000041,PRD00034,CUST00242,3034.92,mobile,2025-06-13,CAMPAIGN1
TXN00000043,PRD00074,CUST00355,2782.29,mobile,2025-06-15,
TXN00000044,PRD00026,CUST00008,2737.16,mobile,2025-06-15,CAMPAIGN1
TXN00000050,PRD00018,CUST00090,4746.54,mobile,2025-02-06,CAMPAIGN2
TXN00000056,PRD00098,CUST00187,4958.21,mobile,2025-06-28,CAMPAIGN1
TXN00000057,PRD00048,CUST00129,1198.29,mobile,2025-04-23,
TXN00000058,PRD00089,CUST00418,3475.47,mobile,2025-04-14,
TXN00000059,PRD00079,CUST00058,2540.46,mobile,2025-01-08,CAMPAIGN1
TXN00000061,PRD00021,CUST00390,4038.13,mobile,2025-02-24,
TXN00000065,PRD00065,CUST00381,1285.18,mobile,2025-05-15,CAMPAIGN1
TXN00000066,PRD00029,CUST00007,485.51,mobile,2025-06-23,CAMPAIGN2
TXN00000067,PRD00082,CUST00396,2804.74,mobile,2025-04-15,
TXN00000069,PRD00050,CUST00431,2969.84,mobile,2025-01-03,
TXN00000079,PRD00019,CUST00405,2381.61,mobile,2025-01-26,CAMPAIGN2
TXN00000086,PRD00037,CUST00127,4956.43,mobile,2025-03-15,CAMPAIGN1
TXN00000087,PRD00092,CUST00208,4322.49,mobile,2025-05-16,
TXN00000088,PRD00049,CUST00344,4480.73,mobile,2025-06-13,
TXN00000090,PRD00057,CUST00311,2591.8,mobile,2025-05-15,CAMPAIGN1
TXN00000091,PRD00034,CUST00443,3852.87,mobile,2025-06-16,
TXN00000092,PRD00067,CUST00401,2018.4,mobile,2025-05-26,
TXN00000100,PRD00042,CUST00498,4530.18,mobile,2025-04-26,
TXN00000103,PRD00088,CUST00039,2331.44,mobile,2025-01-07,CAMPAIGN2
TXN00000104,PRD00016,CUST00021,2124.66,mobile,2025-04-14,
TXN00000106,PRD00019,CUST00298,2233.57,mobile,2025-01-15,
TXN00000107,PRD00022,CUST00368,1069.44,mobile,2025-05-04,CAMPAIGN2
TXN00000108,PRD00062,CUST00375,4001.41,mobile,2025-02-04,CAMPAIGN2
TXN00000110,PRD00029,CUST00103,3659.13,mobile,2025-01-08,CAMPAIGN2
TXN00000116,PRD00029,CUST00258,2489.52,mobile,2025-05-27,
TXN00000119,PRD00051,CUST00174,4939.03,mobile,2025-02-04,CAMPAIGN1
TXN00000123,PRD00053,CUST00309,4893.08,mobile,2025-03-09,CAMPAIGN1
TXN00000124,PRD00030,CUST00319,2046.21,mobile,2025-05-11,
TXN00000125,PRD00041,CUST00489,1889.53,mobile,2025-03-03,CAMPAIGN1
TXN00000126,PRD00045,CUST00037,2370.48,mobile,2025-02-18,CAMPAIGN2
TXN00000127,PRD00037,CUST00212,2313.97,mobile,2025-01-20,CAMPAIGN2
TXN00000129,PRD00089,CUST00122,4715.0,mobile,2025-04-08,CAMPAIGN1
TXN00000131,PRD00090,CUST00289,3863.16,mobile,2025-03-31,CAMPAIGN1
TXN00000134,PRD00089,CUST00221,711.68,mobile,2025-05-07,CAMPAIGN2
TXN00000142,PRD00055,CUST00325,717.03,mobile,2025-06-18,
TXN00000147,PRD00042,CUST00269,4761.95,mobile,2025-02-21,CAMPAIGN2
TXN00000150,PRD00050,CUST00290,4718.4,mobile,2025-01-02,CAMPAIGN1
TXN00000151,PRD00040,CUST00200,2506.12,mobile,2025-06-01,CAMPAIGN2
TXN00000154,PRD00039,CUST00047,3092.87,mobile,2025-03-26,CAMPAIGN2
TXN00000158,PRD00001,CUST00084,3966.4,mobile,2025-05-03,CAMPAIGN1
TXN00000161,PRD00069,CUST00017,2757.65,mobile,2025-06-19,
TXN00000162,PRD00005,CUST00055,3334.55,mobile,2025-06-19,
TXN00000168,PRD00100,CUST00035,571.88,mobile,2025-05-27,
TXN00000172,PRD00050,CUST00067,106.64,mobile,2025-06-26,
TXN00000173,PRD00045,CUST00351,1470.36,mobile,2025-02-24,
TXN00000175,PRD00015,CUST00453,4293.71,mobile,2025-02-21,CAMPAIGN2
TXN00000176,PRD00073,CUST00224,3280.43,mobile,2025-01-27,CAMPAIGN2
TXN00000177,PRD00056,CUST00261,1237.09,mobile,2025-01-13,CAMPAIGN1
TXN00000178,PRD00061,CUST00253,4145.64,mobile,2025-05-16,
TXN00000179,PRD00036,CUST00301,1371.02,mobile,2025-05-26,CAMPAIGN1
TXN00000180,PRD00029,CUST00458,4546.28,mobile,2025-05-29,
TXN00000181,PRD00040,CUST00255,4600.95,mobile,2025-06-23,CAMPAIGN2
TXN00000184,PRD00088,CUST00489,4450.65,mobile,2025-04-15,CAMPAIGN2
TXN00000185,PRD00091,CUST00101,1404.09,mobile,2025-02-08,
TXN00000198,PRD00059,CUST00290,4846.14,mobile,2025-05-06,CAMPAIGN2
TXN00000199,PRD00097,CUST00072,1445.63,mobile,2025-04-24,CAMPAIGN2
TXN00000206,PRD00044,CUST00316,2848.81,mobile,2025-06-23,CAMPAIGN1
TXN00000209,PRD00090,CUST00460,4026.84,mobile,2025-05-20,CAMPAIGN1
TXN00000210,PRD00013,CUST00489,2746.07,mobile,2025-04-27,CAMPAIGN1
TXN00000212,PRD00070,CUST00131,300.57,mobile,2025-05-01,
TXN00000213,PRD00027,CUST00266,11.19,mobile,2025-05-01,CAMPAIGN2
TXN00000216,PRD00079,CUST00290,995.2,mobile,2025-01-04,
TXN00000222,PRD00029,CUST00333,3970.19,mobile,2025-05-18,
TXN00000233,PRD00086,CUST00124,960.9,mobile,2025-06-29,CAMPAIGN2
TXN00000236,PRD00095,CUST00271,1238.12,mobile,2025-04-10,CAMPAIGN2
TXN00000241,PRD00088,CUST00223,1738.37,mobile,2025-01-24,CAMPAIGN2
TXN00000243,PRD00039,CUST00456,4084.64,mobile,2025-05-19,CAMPAIGN1
TXN00000247,PRD00064,CUST00142,1329.5,mobile,2025-02-05,
TXN00000248,PRD00073,CUST00360,2005.11,mobile,2025-01-26,CAMPAIGN2
TXN00000252,PRD00049,CUST00318,1312.38,mobile,2025-01-12,
TXN00000254,PRD00044,CUST00143,2912.15,mobile,2025-03-21,CAMPAIGN1
TXN00000255,PRD00095,CUST00034,1732.08,mobile,2025-04-07,
TXN00000256,PRD00036,CUST00077,1225.35,mobile,2025-01-18,
TXN00000260,PRD00070,CUST00432,1229.88,mobile,2025-04-17,CAMPAIGN2
TXN00000262,PRD00066,CUST00417,2890.79,mobile,2025-01-26,
TXN00000265,PRD00089,CUST00438,4958.36,mobile,2025-05-02,CAMPAIGN2
TXN00000270,PRD00067,CUST00085,321.66,mobile,2025-05-07,CAMPAIGN1
