transaction_id,product_id,customer_id,amount,channel,transaction_date,campaign_id
TXN00000002,PRD00017,CUST00231,2379.87,web,2025-04-28,CAMPAIGN1
TXN00000004,PRD00058,CUST00449,2190.22,web,2025-03-27,
TXN00000005,PRD00074,CUST00321,2337.32,web,2025-02-29,CAMPAIGN1
TXN00000007,PRD00065,CUST00219,2602.37,web,2025-04-29,CAMPAIGN1
TXN00000010,PRD00083,CUST00080,1751.72,web,2025-02-24,
TXN00000014,PRD00008,CUST00492,1824.18,web,2025-05-15,CAMPAIGN2
TXN00000015,PRD00001,CUST00476,3191.46,web,2025-06-06,
TXN00000018,PRD00071,CUST00341,3111.51,web,2025-01-24,CAMPAIGN1
TXN00000022,PRD00005,CUST00460,4746.3,web,2025-01-02,CAMPAIGN1
TXN00000023,PRD00018,CUST00280,1039.64,web,2025-03-27,
TXN00000038,PRD00095,CUST00183,3374.71,web,2025-02-11,CAMPAIGN2
TXN00000045,PRD00098,CUST00153,4471.18,web,2025-03-07,
TXN00000047,PRD00079,CUST00463,4892.69,web,2025-01-21,
TXN00000049,PRD00072,CUST00146,3865.16,web,2025-06-08,
TXN00000052,PRD00059,CUST00078,468.19,web,2025-06-15,CAMPAIGN1
TXN00000053,PRD00079,CUST00284,3470.01,web,2025-04-03,CAMPAIGN2
TXN00000054,PRD00011,CUST00209,4355.45,web,2025-04-08,CAMPAIGN2
TXN00000060,PRD00033,CUST00168,1047.09,web,2025-04-26,CAMPAIGN2
TXN00000062,PRD00045,CUST00400,545.44,web,2025-03-17,
TXN00000063,PRD00039,CUST00334,1134.4,web,2025-05-05,CAMPAIGN2
TXN00000070,PRD00065,CUST00473,3381.38,web,2025-05-02,CAMPAIGN2
TXN00000071,PRD00042,CUST00438,1291.38,web,2025-01-31,CAMPAIGN2
TXN00000072,PRD00019,CUST00100,2169.94,web,2025-04-26,
TXN00000073,PRD00019,CUST00112,3345.79,web,2025-01-26,CAMPAIGN1
TXN00000075,PRD00034,CUST00467,995.48,web,2025-03-27,
TXN00000076,PRD00058,CUST00024,2316.29,web,2025-04-02,
TXN00000077,PRD00007,CUST00133,1811.51,web,2025-04-01,CAMPAIGN1
TXN00000078,PRD00011,CUST00440,1500.52,web,2025-02-25,CAMPAIGN2
TXN00000080,PRD00063,CUST00039,2482.0,web,2025-04-26,
TXN00000084,PRD00050,CUST00208,4148.21,web,2025-03-26,CAMPAIGN1
TXN00000089,PRD00053,CUST00025,2069.34,web,2025-01-28,
TXN00000094,PRD00099,CUST00367,960.38,web,2025-03-13,CAMPAIGN2
TXN00000096,PRD00008,CUST00393,3922.73,web,2025-06-05,CAMPAIGN1
TXN00000097,PRD00053,CUST00048,1694.23,web,2025-01-18,CAMPAIGN2
TXN00000098,PRD00094,CUST00104,3722.24,web,2025-01-19,CAMPAIGN2
TXN00000099,PRD00095,CUST00228,2738.21,web,2025-06-02,CAMPAIGN2
TXN00000102,PRD00061,CUST00359,230.18,web,2025-06-08,
TXN00000105,PRD00068,CUST00129,845.7,web,2025-04-27,
TXN00000109,PRD00087,CUST00348,4143.7,web,2025-02-04,CAMPAIGN2
TXN00000113,PRD00003,CUST00047,3583.5,web,2025-01-08,CAMPAIGN2
TXN00000114,PRD00078,CUST00097,4282.41,web,2025-06-04,
TXN00000115,PRD00044,CUST00319,2248.41,web,2025-03-21,CAMPAIGN1
TXN00000118,PRD00005,CUST00441,281.86,web,2025-02-06,CAMPAIGN1
TXN00000120,PRD00073,CUST00116,3827.7,web,2025-03-14,CAMPAIGN1
TXN00000121,PRD00030,CUST00145,2464.23,web,2025-05-03,CAMPAIGN1
TXN00000122,PRD00058,CUST00076,2112.58,web,2025-03-15,
TXN00000130,PRD00053,CUST00064,3382.98,web,2025-03-31,CAMPAIGN2
TXN00000132,PRD00046,CUST00164,1341.84,web,2025-01-09,
TXN00000135,PRD00053,CUST00307,623.81,web,2025-01-17,CAMPAIGN1
TXN00000136,PRD00068,CUST00100,1805.26,web,2025-03-25,CAMPAIGN2
TXN00000139,PRD00042,CUST00464,4204.54,web,2025-02-14,CAMPAIGN1
TXN00000143,PRD00035,CUST00438,472.26,web,2025-01-05,CAMPAIGN2
TXN00000144,PRD00032,CUST00087,349.77,web,2025-02-06,
TXN00000148,PRD00023,CUST00377,3357.44,web,2025-02-16,CAMPAIGN2
TXN00000152,PRD00006,CUST00065,1372.89,web,2025-02-23,CAMPAIGN2
TXN00000153,PRD00068,CUST00454,3671.75,web,2025-03-03,CAMPAIGN2
TXN00000155,PRD00064,CUST00083,3278.13,web,2025-06-11,CAMPAIGN2
TXN00000159,PRD00093,CUST00414,2362.05,web,2025-05-01,CAMPAIGN1
TXN00000160,PRD00081,CUST00410,962.36,web,2025-01-19,CAMPAIGN1
TXN00000163,PRD00023,CUST00166,3856.38,web,2025-04-14,
TXN00000174,PRD00087,CUST00260,1574.33,web,2025-02-01,CAMPAIGN1
TXN00000182,PRD00031,CUST00168,4697.5,web,2025-03-12,CAMPAIGN1
TXN00000183,PRD00022,CUST00173,2289.45,web,2025-02-09,
TXN00000187,PRD00006,CUST00153,1948.22,web,2025-06-09,CAMPAIGN2
TXN00000188,PRD00057,CUST00377,3511.09,web,2025-02-20,
TXN00000189,PRD00001,CUST00095,4381.46,web,2025-03-12,CAMPAIGN1
TXN00000193,PRD00084,CUST00293,2641.36,web,2025-03-08,CAMPAIGN2
TXN00000194,PRD00087,CUST00384,1715.92,web,2025-02-21,CAMPAIGN1
TXN00000201,PRD00094,CUST00360,3987.85,web,2025-02-14,CAMPAIGN2
TXN00000202,PRD00057,CUST00115,2019.15,web,2025-03-01,
TXN00000204,PRD00045,CUST00240,1727.69,web,2025-06-29,
TXN00000205,PRD00039,CUST00474,3686.31,web,2025-04-30,
TXN00000214,PRD00054,CUST00142,4041.16,web,2025-06-03,
TXN00000218,PRD00077,CUST00208,872.81,web,2025-03-11,CAMPAIGN1
